OJ,Problem Number,Problem Title,AC Users,Try Users,AC Submission,All Submission
UVA,375,Inscribed Circles and Isosceles Triangles,1017,,1815,6008
UVA,376,More Triangles ... THE AMBIGUOUS CASE,117,,190,1337
UVA,377,Cowculations,1475,,1712,2861
UVA,378,Intersecting Lines,3453,,5283,12888
UVA,379,Hi-Q,704,,815,1250
UVA,380,Call Forwarding,775,,961,1811
UVA,381,Making the Grade,618,,715,1293
UVA,382,Perfection,13386,,17182,48873
UVA,383,Shipping Routes,2440,,3113,7833
UVA,384,Slurpys,1509,,2169,4604
UVA,385,DNA Translation,336,,528,1554
UVA,386,Perfect Cubes,5220,,6975,13896
UVA,387,A Puzzling Problem,410,,788,2700
UVA,388,Galactic Import,596,,713,1219
UVA,389,Basically Speaking,4067,,5699,19336
UVA,390,Letter Sequence Analysis,186,,248,951
UVA,391,Mark-up,800,,1273,4163
UVA,392,Polynomial Showdown,4129,,5470,17963
UVA,393,The Doors,531,,648,1508
UVA,394,Mapmaker,2363,,2986,5187
UVA,395,Board Silly,308,,343,1152
UVA,396,Top Dog,40,,97,533
UVA,397,Equation Elation,869,,1289,2564
UVA,398,18-Wheeler Caravans (aka Semigroups),114,,134,960
UVA,399,Another Puzzling Problem,211,,309,1011
UVA,400,Unix ls,4479,,8857,22312
UVA,401,Palindromes,13514,,20977,77480
UVA,402,M*A*S*H,1335,,2185,11419
UVA,403,Postscript,458,,532,2731
UVA,404,Radar Scopes,121,,148,1149
UVA,405,Message Routing,330,,378,1043
UVA,406,Prime Cuts,7776,,11460,43134
UVA,407,Gears on a Board,194,,237,1399
UVA,408,Uniform Generator,4870,,6634,18889
UVA,409,"Excuses, Excuses!",3930,,5500,17027
UVA,410,Station Balance,1533,,2383,10037
UVA,411,Centipede Collisions,212,,231,738
UVA,412,Pi,5810,,8496,22056
UVA,413,Up and Down Sequences,1550,,1823,3890
UVA,414,Machined Surfaces,8025,,10390,24203
UVA,415,Sunrise,245,,499,1076
UVA,416,LED Test,1180,,1421,3725
UVA,417,Word Index,5453,,7421,10993
UVA,418,Molecules,506,,907,1643
UVA,419,Matching Meetings,172,,204,788
UVA,420,"Supercomputer Selection, The Sequel",121,,138,272
UVA,421,Polygonal Puzzle,100,,119,473
UVA,422,Word-Search Wonder,2061,,2477,4743
UVA,423,MPI Maelstrom,2786,,3692,7167
UVA,424,Integer Inquiry,12192,,16281,37860
UVA,425,Enigmatic Encryption,262,,459,1479
UVA,426,Fifth Bank of Swamp County,213,,269,1677
UVA,427,FlatLand Piano Movers,431,,579,1344
UVA,428,Swamp County Roofs,319,,368,814
UVA,429,Word Transformation,3008,,4283,15251
UVA,430,Swamp County Supervisors,195,,352,1303
UVA,431,Trial of the Millennium,181,,346,1848
UVA,432,Modern Art,256,,421,1021
UVA,433,Bank (Not Quite O.C.R.),454,,613,1718
UVA,434,Matty's Blocks,844,,1141,2831
UVA,435,Block Voting,1408,,2060,4034
UVA,436,Arbitrage (II),1473,,2111,4812
UVA,437,The Tower of Babylon,3298,,5810,10105
UVA,438,The Circumference of the Circle,6640,,8376,12474
UVA,439,Knight Moves,8354,,14325,24416
UVA,440,Eeny Meeny Moo,4765,,6455,9359
UVA,441,Lotto,7514,,10763,24680
UVA,442,Matrix Chain Multiplication,4086,,6686,10646
UVA,443,Humble Numbers,5081,,6851,15906
UVA,444,Encoder and Decoder,5056,,6752,21597
UVA,445,Marvelous Mazes,10070,,14602,34540
UVA,446,"Kibbles ""n"" Bits ""n"" Bits ""n"" Bits",5269,,6622,13153
UVA,447,Population Explosion,549,,683,3135
UVA,448,OOPS!,1060,,2063,4263
UVA,449,Majoring in Scales,215,,510,1832
UVA,450,Little Black Book,1635,,3371,10661
UVA,451,Poker Solitaire Evaluator,298,,432,1922
UVA,452,Project Scheduling,1037,,1470,4608
UVA,453,Intersecting Circles,321,,588,7538
UVA,454,Anagrams,1565,,2016,11120
UVA,455,Periodic Strings,5896,,11166,47866
UVA,456,Robotic Stacker,69,,127,258
UVA,457,Linear Cellular Automata,2882,,3955,10791
UVA,458,The Decoder,26262,,36724,76662
UVA,459,Graph Connectivity,5747,,8787,32699
UVA,460,Overlapping Rectangles,1700,,2148,7776
UVA,461,The Reservation Maker,3,,3,74
UVA,462,Bridge Hand Evaluator,1621,,2161,6348
UVA,463,Polynomial Factorization,16,,23,474
UVA,464,Sentence/Phrase Generator,350,,561,1767
UVA,465,Overflow,3755,,5989,29948
UVA,466,"Mirror, Mirror",1451,,1789,3223
UVA,467,Synching Signals,674,,1242,2845
UVA,468,Key to Success,804,,996,4568
UVA,469,Wetlands of Florida,3451,,5086,18537
UVA,470,Nasty Virus,3,,3,131
UVA,471,Magic Numbers,1469,,2270,7584
UVA,472,Simultaneous Equations,17,,25,374
UVA,473,Raucous Rockers,521,,1064,3930
