OJ,Problem Number,Problem Title,AC Users,Try Users,AC Submission,All Submission
HDU,1353,Exact Change Only,115,,159,401
HDU,1351,Leaky Cryptography,20,,21,157
HDU,1352,I Conduit!,46,,56,468
HDU,1350,Taxi Cab Scheme,402,,651,1268
HDU,1349,Fold-up Patterns,1,,1,178
HDU,1348,Wall,1087,,2083,7221
HDU,1345,Doing Windows,21,,23,226
HDU,1346,"Coconuts, Revisited",225,,286,699
HDU,1347,Grandpa is Famous,315,,391,1035
HDU,1343,Modular multiplication of polynomials,65,,95,347
HDU,1344,Nonst,39,,40,280
HDU,1342,Lotto,934,,1627,3408
HDU,1341,Simple Computers,119,,214,487
HDU,1339,A Simple Task,2595,,3003,5440
HDU,1340,Cog-Wheels,0,,0,261
HDU,1338,Game Prediction,523,,926,1631
HDU,1337,The Drunk Jailer,1217,,1572,1995
HDU,1334,Perfect Cubes,1348,,1722,3675
HDU,1333,Smith Numbers,441,,713,2036
HDU,1335,Basically Speaking,1134,,1463,3582
HDU,1336,Word Index,210,,271,618
HDU,1332,LC-Display,517,,650,1630
HDU,1331,Function Run Fun,1487,,2253,4700
HDU,1330,Deck,1053,,1280,2188
HDU,1329,Hanoi Tower Troubles Again!,376,,663,1004
HDU,1328,IBM Minus One,2861,,3378,6811
HDU,1327,Definite Values,521,,654,1616
HDU,1326,Box of Bricks,2714,,3508,8000
HDU,1325,Is It A Tree?,2854,,5982,26173
HDU,1324,Pseudo-Random Numbers,294,,373,840
HDU,1322,Floppies,275,,316,607
HDU,1323,Perfection,1602,,1911,3123
HDU,1320,Inversion,321,,380,635
HDU,1319,Prime Cuts,807,,1121,2528
HDU,1321,Reverse Text,3207,,4414,8124
HDU,1318,Palindromes,354,,476,1180
HDU,1317,XYZZY,765,,1748,6048
HDU,1316,How Many Fibs?,1765,,2648,6684
HDU,1315,Basic,66,,104,546
HDU,1314,Numerically Speaking,165,,194,804
HDU,1313,Round and Round We Go,427,,516,1029
HDU,1310,Team Rankings,78,,95,335
HDU,1309,Loansome Car Buyer,77,,83,283
HDU,1312,Red and Black,5727,,13120,21531
HDU,1311,Relative Relatives,165,,258,607
HDU,1308,What Day Is It?,374,,583,1363
HDU,1307,N-Credible Mazes,207,,343,661
HDU,1306,String Matching,501,,640,1203
HDU,1303,Doubles,3105,,3818,5558
HDU,1305,Immediate Decodability,1126,,1893,3627
HDU,1304,A Contesting Decision,539,,594,845
HDU,1302,The Snail,1655,,2204,3053
HDU,1301,Jungle Roads,3229,,6124,8317
HDU,1300,Pearls,843,,1398,2792
HDU,1498,"50 years, 50 colors",927,,1541,2688
HDU,1496,Equations,1676,,3617,8704
HDU,1497,Simple Library Management System,354,,517,1806
HDU,1495,非常可乐,2288,,6805,16814
HDU,1493,QQpet exploratory park,299,,407,780
HDU,1494,跑跑卡丁车,734,,1374,3797
HDU,1492,The number of divisors(约数) about Humble Numbers,1393,,2112,4275
HDU,1489,Wine trading in Gergovia,95,,144,341
HDU,1490,Homogeneous squares,47,,94,234
HDU,1491,Octorber 21st,2311,,3006,4894
HDU,1488,Flavius Josephus Reloaded,48,,75,202
HDU,1486,Dihedral groups,19,,20,151
HDU,1487,Economic phone calls,25,,35,154
HDU,1484,Basic wall maze,125,,175,458
HDU,1485,Construct the wall maze,6,,8,129
HDU,1483,Automatic Correction of Misspellings,55,,69,235
HDU,1482,Counterfeit Dollar,252,,320,794
HDU,1478,Parallel Deadlock,1,,1,88
HDU,1480,钥匙计数之二,605,,708,1279
HDU,1477,Metal Cutting,0,,0,117
HDU,1479,Numbers That Count,100,,125,284
HDU,1476,Scheduling Lectures,57,,75,248
HDU,1472,There's Treasure Everywhere!,46,,52,157
HDU,1474,Always On the Run,75,,90,189
HDU,1470,Island of Logic,23,,24,125
HDU,1469,Video Surveillance,86,,94,218
HDU,1471,MBone,2,,2,92
HDU,1475,Keeps Going and Going and ...,1,,1,83
HDU,1468,Instant Complexity,58,,64,170
HDU,1467,Triangles,113,,149,436
HDU,1466,计算直线的交点数,3357,,4747,10360
HDU,1464,Telephone Numbers,0,,0,148
HDU,1465,不容易系列之一,6796,,9751,22428
HDU,1463,Anniversaries,5,,5,203
HDU,1460,Beggar My Neighbour,2,,2,149
HDU,1462,Word Crosses,114,,131,414
HDU,1461,Rotations and Reflections,89,,110,235
HDU,1457,Counting Out,47,,62,200
HDU,1458,Tax Avoidance,2,,6,319
HDU,1456,Transportation,90,,131,354
HDU,1459,Calendar,0,,0,163
HDU,1455,Sticks,1299,,3372,11067
HDU,1454,Pipe,102,,123,330
HDU,1452,Happy 2004,881,,1404,1914
HDU,1453,City hall,170,,197,370
HDU,1450,Pollution,25,,33,200
HDU,1449,Spiderman,40,,80,288
HDU,1451,Area in Triangle,49,,66,238
HDU,1448,The Treasure,15,,29,210
HDU,1446,Paper Cut,1,,1,169
HDU,1447,Fourier's Lines,49,,52,205
HDU,1445,Ride to School,241,,377,791
HDU,1444,Maya Calendar,251,,308,724
HDU,1443,Joseph,1241,,1760,2965
HDU,1442,Soundex Indexing,23,,25,161
HDU,1441,A Logical Problem,2,,2,115
HDU,1440,Department,2,,2,183
HDU,1438,钥匙计数之一,600,,834,1837
HDU,1439,Cipher,211,,318,679
HDU,1435,Stable Match,217,,402,837
HDU,1437,天气情况,306,,378,832
HDU,1436,排列组合（二）,123,,207,1085
HDU,1434,幸福列车,550,,904,2711
HDU,1432,Lining Up,259,,481,1560
HDU,1433,Simply Syntax ,182,,302,625
HDU,1430,魔板,465,,826,3545
HDU,1429,胜利大逃亡(续),1443,,3340,9226
HDU,1427,速算24点,777,,1405,5427
HDU,1428,漫步校园,779,,1431,4522
HDU,1426,Sudoku Killer,1254,,2553,8326
HDU,1425,sort,6767,,14440,51029
HDU,1424,Increasing Sequences,55,,67,428
HDU,1431,素数回文,2680,,4783,20141
HDU,1422,重温世界杯,1469,,2485,7054
HDU,1423,Greatest Common Increasing Subsequence,1370,,2668,8253
HDU,1421,搬寝室,4557,,10092,29428
HDU,1419,Dart-a-Mania,3,,3,238
HDU,1420,Prepared for New Acmer,2534,,4194,10937
HDU,1417,Gleaming the Cubes,84,,210,425
HDU,1418,抱歉,1927,,2467,5407
HDU,1415,Jugs,277,,393,1196
HDU,1416,Gizilch ,57,,72,279
HDU,1414,银河跳舞机大赛,2,,4,362
HDU,1411,校庆神秘建筑,671,,861,2418
HDU,1413,文件系统,252,,474,847
HDU,1412,{A} + {B},5505,,9181,22226
HDU,1409,Is It a Number,360,,423,1287
HDU,1410,PK武林盟主,289,,421,1571
HDU,1408,盐水的故事,3890,,5143,20176
HDU,1407,测试你是否和LTC水平一样高,4727,,6450,19144
HDU,1405,The Last Practice,1893,,2545,11157
HDU,1406,完数,7856,,11265,29698
HDU,1403,Longest Common Substring,877,,2426,6859
HDU,1404,Digital Deletions,641,,1104,3036
HDU,1401,Solitaire,663,,1424,4726
HDU,1402,A * B Problem Plus,1887,,5490,22040
HDU,1400,Mondriaan's Dream,437,,798,1255
HDU,1599,find the mincost route,956,,2315,5767
HDU,1598,find the most comfortable road,1485,,3348,7966
HDU,1597,find the nth digit,2533,,4206,13679
HDU,1595,find the longest of the shortest,652,,1365,3675
HDU,1596,find the safest road,2125,,5071,14441
HDU,1594,find the max,362,,457,883
HDU,1590,Searching,64,,84,477
HDU,1592,Half of and a Half,482,,570,1229
HDU,1591,Encoded Love-letter,512,,672,1833
HDU,1593,find a way to escape,712,,847,2164
HDU,1589,Stars Couple,128,,217,1015
HDU,1586,Sending,6,,6,136
HDU,1584,蜘蛛牌,837,,1922,4471
HDU,1588,Gauss Fibonacci,837,,1542,3555
HDU,1587,Flowers,2379,,2897,4400
HDU,1582,AC Again,145,,184,483
HDU,1579,Function Run Fun,1127,,1596,3099
HDU,1580,Always On the Run,65,,83,130
HDU,1585,Auto Love-letter Maker,3,,4,82
HDU,1577,WisKey的眼神,669,,1248,4269
HDU,1578,Martian Mining,39,,60,154
HDU,1576,A/B,2238,,5232,6601
HDU,1574,RP问题,340,,475,1208
HDU,1575,Tr A,2189,,4223,5619
HDU,1573,X问题,1288,,2402,6878
HDU,1572,下沙小面的(2),528,,1057,2410
HDU,1571,下沙小面的(1),463,,563,1369
HDU,1570,A C,3101,,3576,5502
HDU,1569,方格取数(2),1080,,2152,6704
HDU,1567,2006,150,,225,776
HDU,1568,Fibonacci,1829,,2654,5597
HDU,1566,奇怪的公式,105,,127,474
HDU,1565,方格取数(1),1565,,3600,9484
HDU,1562,Guess the number,2772,,3387,4567
HDU,1564,Play a game,1550,,2515,3088
HDU,1561,"The more, The Better",2006,,4976,8513
HDU,1560,DNA sequence,500,,1449,2977
HDU,1559,最大子矩阵,1547,,2728,5157
HDU,1558,Segment set,1080,,1968,5106
HDU,1557,权利指数,501,,920,1322
HDU,1556,Color the ball,4405,,11339,23314
HDU,1554,Pairs of integers,38,,44,207
HDU,1555,How many days?,3751,,4965,8271
HDU,1551,Cable master,840,,1923,5146
HDU,1553,Library,0,,0,124
HDU,1548,A strange lift,4148,,9862,27453
HDU,1545,01-K Code,164,,219,750
HDU,1544,Palindromes,597,,823,1679
HDU,1546,Idiomatic Phrases Game,582,,1313,3858
HDU,1543,Paint the Wall,241,,405,1167
HDU,1541,Stars,2109,,4222,10566
HDU,1542,Atlantis,2254,,5831,14112
HDU,1547,Bubble Shooter,302,,509,1151
HDU,1540,Tunnel Warfare,1396,,3836,9806
HDU,1539,Shredding Company,162,,256,744
HDU,1538,A Puzzle for Pirates,230,,430,1144
HDU,1537,Rubik's Cube,71,,86,232
HDU,1536,S-Nim,1767,,3517,8381
HDU,1535,Invitation Cards,880,,2049,4504
HDU,1534,Schedule Problem,474,,910,2007
HDU,1532,Drainage Ditches,3354,,9098,19078
HDU,1533,Going Home,1361,,3058,5775
HDU,1531,King,489,,875,1879
HDU,1530,Maximum Clique,702,,2439,4665
HDU,1529,Cashier Employment,314,,591,1300
HDU,1528,Card Game Cheater,725,,1126,2044
HDU,1527,取石子游戏,2399,,4371,7828
HDU,1526,A Plug for UNIX,196,,285,1086
HDU,1525,Euclid's Game,993,,1817,3810
HDU,1524,A Chess Game,619,,1039,2299
HDU,1523,Decoding Morse Sequences,75,,108,263
HDU,1522,Marriage is Stable,387,,672,1272
HDU,1521,排列组合,1101,,1894,4421
HDU,1519,Think Positive,59,,95,295
HDU,1520,Anniversary party,2306,,5041,12448
HDU,1518,Square,1879,,5154,16316
HDU,1516,String Distance and Transform Process,166,,220,445
HDU,1515,Anagrams by Stack,516,,1058,2268
HDU,1517,A Multiplication Game,2141,,3544,6222
HDU,1513,Palindrome,1082,,2122,6425
HDU,1514,Free Candies,128,,227,355
HDU,1512,Monkey King,1099,,2745,6399
HDU,1509,Windows Message Queue,1454,,2977,7330
HDU,1510,White Rectangles,424,,570,1167
HDU,1508,Alphacode,310,,457,1367
HDU,1507,Uncle Tom's Inherited Land*,801,,1577,3678
HDU,1511,Increasing Sequences,105,,123,323
HDU,1504,Disk Tree,132,,173,546
HDU,1505,City Game,1767,,3280,7568
HDU,1503,Advanced Fruits,1047,,1968,3773
HDU,1506,Largest Rectangle in a Histogram,2788,,5848,19360
HDU,1502,Regular Words,569,,903,2280
HDU,1501,Zipper,1984,,3790,10536
HDU,1500,Chopsticks,667,,1027,2145
HDU,1583,DNA Assembly,99,,116,269
HDU,1581,Number Game,30,,32,206
HDU,1563,Find your present!,2348,,2856,4321
HDU,1699,The comment in cpp,39,,44,368
HDU,1697,Iron Chain,84,,105,336
HDU,1694,Final Challenge,0,,0,66
HDU,1696,Help the People Been Trapped,4,,31,146
HDU,1693,Eat the Trees,1053,,2224,4402
HDU,1695,GCD,1745,,4808,12681
HDU,1698,Just a Hook,6363,,17160,35130
HDU,1692,Destroy the Well of Life,306,,476,1159
HDU,1691,Chinese Chess,121,,229,911
HDU,1687,Lucky Light,111,,147,426
HDU,1689,Alien’s Necklace,283,,522,1818
HDU,1690,Bus System,1227,,2455,9029
HDU,1688,Sightseeing,316,,562,1260
HDU,1685,Booksort,135,,273,493
HDU,1686,Oulipo,2319,,6200,15680
HDU,1683,Colour sequence,174,,282,495
HDU,1684,Projects,85,,106,260
HDU,1680,Cheesy Chess,89,,129,372
HDU,1681,Frobenius,140,,175,293
HDU,1682,Mineshaft,2,,4,55
HDU,1679,Moogle,60,,98,380
HDU,1677,Nested Dolls,634,,1218,3907
HDU,1676,Full Tank?,111,,150,358
HDU,1678,Shopaholic,1335,,1790,3282
HDU,1675,Circle of Debt,9,,12,81
HDU,1674,Copying DNA,26,,40,170
HDU,1672,Cuckoo Hashing,96,,139,248
HDU,1673,Optimal Parking,1991,,2331,2783
HDU,1671,Phone List,3311,,7338,21628
HDU,1669,Jamie's Contact Groups ,165,,252,659
HDU,1668,Islands and Bridges ,68,,95,315
HDU,1667,The Rotation Game,323,,727,1744
HDU,1666,The Floor Bricks,16,,18,99
HDU,1664,Different Digits,243,,484,1649
HDU,1665,That Nice Euler Circuit,91,,120,225
HDU,1663,The Counting Problem,163,,219,545
HDU,1662,Link and Pop -- the Block Game,20,,23,120
HDU,1660,Peter's Calculator,0,,0,85
HDU,1661,Amphiphilic Carbon Molecules ,65,,94,265
HDU,1658,Triangle  ,0,,0,105
HDU,1659,Spreadsheet,33,,44,119
