OJ,Problem Number,Problem Title,AC Users,Try Users,AC Submission,All Submission
CodeForces,779B,Weird Rounding, x5759,,,
CodeForces,779A,Pupils Redistribution, x5853,,,
CodeForces,778E,Selling Numbers, x101,,,
CodeForces,778D,Parquet Re-laying, x196,,,
CodeForces,778C,Peterson Polyglot, x441,,,
CodeForces,778B,Bitwise Formula, x1386,,,
CodeForces,778A,String Game, x3982,,,
CodeForces,777E,Hanoi Factory, x1501,,,
CodeForces,777D,Cloud of Hashtags, x2453,,,
CodeForces,777C,Alyona and Spreadsheet, x3074,,,
CodeForces,777B,Game of Credit Cards, x4257,,,
CodeForces,777A,Shell Game, x5533,,,
CodeForces,776G,Sherlock and the Encrypted Data, x148,,,
CodeForces,776F,Sherlock's bet to Moriarty, x173,,,
CodeForces,776E,The Holmes Children, x1077,,,
CodeForces,776D,The Door Problem, x1623,,,
CodeForces,776C,Molly's Chemicals, x2742,,,
CodeForces,776B,Sherlock and his girlfriend, x5190,,,
CodeForces,776A,A Serial Killer, x6219,,,
CodeForces,775A,University Schedule,0,,,
CodeForces,774L,Bars, x143,,,
CodeForces,774K,Stepan and Vowels, x850,,,
CodeForces,774J,Stepan's Series, x200,,,
CodeForces,774I,Composing Of String, x56,,,
CodeForces,774H,Repairing Of String, x113,,,
CodeForces,774G,Perfectionist Arkadiy, x31,,,
CodeForces,774F,Pens And Days Of Week, x44,,,
CodeForces,774E,Big Number and Remainder, x104,,,
CodeForces,774D,Lie or Truth, x1214,,,
CodeForces,774C,Maximum Number, x1779,,,
CodeForces,774B,Significant Cups, x140,,,
CodeForces,774A,Amusement Park, x212,,,
CodeForces,773F,Test Data Generation, x25,,,
CodeForces,773E,Blog Post Rating, x85,,,
CodeForces,773D,Perishable Roads, x215,,,
CodeForces,773C,Prairie Partition, x613,,,
CodeForces,773B,Dynamic Problem Scoring, x860,,,
CodeForces,773A,Success Rate, x2485,,,
CodeForces,772E,Verifying Kingdom, x32,,,
CodeForces,772D,Varying Kibibits, x192,,,
CodeForces,772C,Vulnerable Kerbals, x635,,,
CodeForces,772B,Volatile Kite, x1962,,,
CodeForces,772A,Voltage Keepsake, x2679,,,
CodeForces,771F,Bear and Isomorphic Points, x27,,,
CodeForces,771E,Bear and Rectangle Strips, x123,,,
CodeForces,771D,Bear and Company, x534,,,
CodeForces,771C,Bear and Tree Jumps, x1439,,,
CodeForces,771B,Bear and Different Names, x4543,,,
CodeForces,771A,Bear and Friendship Condition, x4428,,,
CodeForces,770D,Draw Brackets!, x1358,,,
CodeForces,770C,Online Courses In BSU, x1285,,,
CodeForces,770B,Maximize Sum of Digits, x1751,,,
CodeForces,770A,New Password, x3001,,,
CodeForces,769D,k-Interesting Pairs Of Integers, x1306,,,
CodeForces,769C,Cycle In Maze, x849,,,
CodeForces,769B,News About Credit, x2467,,,
CodeForces,769A,Year of University Entrance, x3342,,,
CodeForces,768G,The Winds of Winter, x77,,,
CodeForces,768F,Barrels and boxes, x513,,,
CodeForces,768E,Game of Stones, x1279,,,
CodeForces,768D,Jon and Orbs, x1093,,,
CodeForces,768C,Jon Snow and his Favourite Number, x2259,,,
CodeForces,768B,Code For 1, x3078,,,
CodeForces,768A,Oath of the Night's Watch, x6722,,,
CodeForces,767E,Change-free, x440,,,
CodeForces,767D,Cartons of milk, x1102,,,
CodeForces,767C,Garland, x1588,,,
CodeForces,767B,The Queue, x1467,,,
CodeForces,767A,Snacktower, x4941,,,
CodeForces,766E,Mahmoud and a xor trip, x836,,,
CodeForces,766D,Mahmoud and a Dictionary, x1439,,,
CodeForces,766C,Mahmoud and a Message, x2580,,,
CodeForces,766B,Mahmoud and a Triangle, x7111,,,
CodeForces,766A,Mahmoud and Longest Uncommon Subsequence, x7369,,,
CodeForces,765G,"Math, math everywhere", x21,,,
CodeForces,765F,Souvenirs, x254,,,
CodeForces,765E,Tree Folding, x786,,,
CodeForces,765D,Artsem and Saunders, x1790,,,
CodeForces,765C,Table Tennis Game 2, x4253,,,
CodeForces,765B,Code obfuscation, x4522,,,
CodeForces,765A,Neverending competitions, x5207,,,
CodeForces,764B,Timofey and cubes, x6595,,,
CodeForces,764A,Taymyr is calling you, x7698,,,
CodeForces,763E,Timofey and our friends animals, x189,,,
CodeForces,763D,Timofey and a flat tree, x161,,,
CodeForces,763C,Timofey and remoduling, x389,,,
CodeForces,763B,Timofey and rectangles, x1605,,,
CodeForces,763A,Timofey and a tree, x3993,,,
CodeForces,762F,Tree nesting, x44,,,
CodeForces,762E,Radio stations, x347,,,
